geometry,median_power_W_cm2,median_power_ratio_vs_baseline,median_cce,median_carrier_survival,median_interface_loss,median_trap_penalty,median_lifetime_years,median_manufacturability_score
straight_fingers,2.016248426483072e-09,5.172386927665527,0.21431561578343383,0.8125267861976311,0.20490317379296316,0.0785724863725277,0.0008721582337874299,0.6419166755296548
radial_spokes,1.8454970713618415e-09,4.734349597786108,0.20498146503227002,0.8153168960353558,0.20907375805246667,0.07869063884426009,0.0008745520702196298,0.4303071588105215
interdigitated_combs,1.7822272275972974e-09,4.572040177724217,0.20127855700372604,0.8237942851967697,0.21200619727977016,0.07880086277138884,0.0008766854482610034,0.45752394412597275
honeycomb_mesh,1.389915093086423e-09,3.5656214599434373,0.17692690471959827,0.832486562481699,0.2210382670705177,0.07918986465237592,0.0008841616868570036,0.1756864580851793
fractal_tree,1.1879829061888408e-09,3.047594320993189,0.16269859826142524,0.8318709782538929,0.2260518835143112,0.07946560332756852,0.0008893322582792951,0.0
random_percolating_nanoribbons,7.360182223206123e-10,1.8881458165823486,0.12615478974167219,0.7705723641964546,0.23629836670568813,0.0802451858257974,0.0009034858922039291,0.016428571428571376
multilayer_3d_mesh,6.410897416505673e-10,1.6446208491073087,0.11411418417196706,0.8030226250276438,0.24191483503040262,0.08101486685783235,0.0009171914633876267,0.0
baseline,3.8981005378750207e-10,1.0,0.09423463553653416,0.3263818277821591,0.18,0.0781981981981982,0.0008635809727396927,0.98
