parameter,base_value,low_power_W_cm2,base_power_W_cm2,high_power_W_cm2,log_elasticity,absolute_swing_W_cm2
diamond_um,8.0,5.723751254467896e-11,2.085347520953013e-10,6.867894572990776e-10,1.7924175059608873,6.295519447543986e-10
interface_recombination_cm_s,10000.0,2.129459916485968e-10,2.085347520953013e-10,2.0014580171904187e-10,-0.04471810995949539,1.2800189929554937e-11
ferrite_um,0.3,2.0254409079283122e-10,2.085347520953013e-10,2.1207871078494932e-10,0.03318190507487946,9.534619992118103e-12
defect_healing_rate_s,1e-07,2.109382280229859e-10,2.085347520953013e-10,2.0288857996984866e-10,-0.028066457099498104,8.049648053137247e-12
electric_field_V_cm,50000.0,2.058142086101544e-10,2.085347520953013e-10,2.085543790277855e-10,0.009540510592134602,2.7401704176310993e-12
annealing_rate_s,2e-08,2.0909749576812288e-10,2.085347520953013e-10,2.0739471758413987e-10,-0.005898317544290866,1.7027781839830036e-12
trap_density_cm3,100000000000000.0,2.0853419335191056e-10,2.085347520953013e-10,2.0853586934344717e-10,5.797454420296071e-06,1.675991536609234e-15
temperature_K,300.0,2.085347520953013e-10,2.085347520953013e-10,2.085347520953013e-10,0.0,0.0
