factor,low_power_W_cm2,base_power_W_cm2,high_power_W_cm2,absolute_swing_W_cm2,relative_swing_vs_base
carrier_mobility,8.389695934440866e-16,4.047086885889823e-15,5.5544978777285964e-14,5.4706009183841876e-14,13.517379469804439
thermal_effects,3.826871489920711e-15,4.047086885889823e-15,4.728245269412549e-15,9.013737794918379e-16,0.22272162790338884
healing_rate,4.0231485533288725e-15,4.047086885889823e-15,4.264971747554638e-15,2.4182319422576524e-16,0.059752409830607374
interface_losses,4.04771258153939e-15,4.047086885889823e-15,4.040848188015766e-15,6.86439352362421e-18,0.0016961319875678806
trap_density,4.047449445992945e-15,4.047086885889823e-15,4.043464200211511e-15,3.985245781434135e-18,0.0009847196004930615
bulk_recombination,4.045293766005658e-15,4.047086885889823e-15,4.047248365828337e-15,1.9545998226789802e-18,0.0004829646305577715
