case_id,architecture,loss_channel,loss_fraction
8,ferrite_graphene,interface:graphene_contact_resistance,0.02896684349922824
8,ferrite_graphene,interface:graphene_surface_recombination_velocity,0.0008577010946394545
9,ferrite_graphene,interface_losses,0.4993016333677949
9,ferrite_graphene,bulk_recombination,0.9998201231479226
9,ferrite_graphene,trap_density,0.27848534548728293
9,ferrite_graphene,carrier_mobility,0.2760582004829697
9,ferrite_graphene,thermal_effects,0.0
9,ferrite_graphene,interface:band_alignment_mismatch,0.27999604220227986
9,ferrite_graphene,interface:interface_trap_states,0.02666666666666667
9,ferrite_graphene,interface:carrier_scattering,0.010000000000000002
9,ferrite_graphene,interface:contact_resistance,0.041495395948168826
9,ferrite_graphene,interface:surface_recombination_velocity,2.8515668791185915e-05
9,ferrite_graphene,interface:graphene_band_alignment_mismatch,0.20999975142093952
9,ferrite_graphene,interface:graphene_interface_trap_states,0.013526011560693642
9,ferrite_graphene,interface:graphene_carrier_scattering,0.0039000000000000007
9,ferrite_graphene,interface:graphene_contact_resistance,0.02896684349922824
9,ferrite_graphene,interface:graphene_surface_recombination_velocity,0.0011211557752927807
10,ferrite_graphene,interface_losses,0.5008662828788251
10,ferrite_graphene,bulk_recombination,0.9958146286171857
10,ferrite_graphene,trap_density,0.27863858295447397
10,ferrite_graphene,carrier_mobility,0.16939153381630298
10,ferrite_graphene,thermal_effects,0.0
10,ferrite_graphene,interface:band_alignment_mismatch,0.2799995900585081
10,ferrite_graphene,interface:interface_trap_states,0.02666666666666667
10,ferrite_graphene,interface:carrier_scattering,0.014000000000000002
10,ferrite_graphene,interface:contact_resistance,0.041495395948168826
10,ferrite_graphene,interface:surface_recombination_velocity,2.4413136997805022e-05
10,ferrite_graphene,interface:graphene_band_alignment_mismatch,0.20999975142093952
10,ferrite_graphene,interface:graphene_interface_trap_states,0.013526011560693642
10,ferrite_graphene,interface:graphene_carrier_scattering,0.0039000000000000007
10,ferrite_graphene,interface:graphene_contact_resistance,0.02896684349922824
10,ferrite_graphene,interface:graphene_surface_recombination_velocity,0.00020217797646840765
11,ferrite_graphene,interface_losses,0.49680057251773335
11,ferrite_graphene,bulk_recombination,0.9997385601254432
11,ferrite_graphene,trap_density,0.2787848207602622
