architecture,median_power_ratio_vs_baseline,rank_1_loss,rank_1_loss_fraction,rank_2_loss,rank_2_loss_fraction,rank_3_loss,rank_3_loss_fraction
embedded_graphene_fingers,1.6371164123914728,trap_density,0.2793182210438114,interface_losses,0.13427587960782833,bulk_recombination,0.025211297262460464
baseline,1.0,trap_density,0.27958303176334287,bulk_recombination,0.23979684680061036,interface_losses,0.1827253397404141
diamond_ideal_defect_sink,0.08805269163179588,bulk_recombination,0.7032815833024142,interface_losses,0.3311352954264182,trap_density,0.2775117138070632
composite_layer,0.08099440664155945,bulk_recombination,0.7473859583046044,trap_density,0.2788803416776931,interface_losses,0.1542272045097886
diamond_high_entropy_alloy,0.003452898927794772,bulk_recombination,0.939343704686306,interface_losses,0.3356395887884472,trap_density,0.27895058645644955
graded_interface,4.726473050703744e-08,bulk_recombination,0.9997358678739722,interface_losses,0.3155335441238784,trap_density,0.2786667148279143
ferrite_transport,4.474095686477955e-08,bulk_recombination,0.9997358678739722,interface_losses,0.3359420867961715,trap_density,0.2786667148279143
ferrite_graphene,2.4530241953231208e-08,bulk_recombination,0.9997358678739722,interface_losses,0.5037512310941319,trap_density,0.2786667148279143
